case,mode,case_group,input_samples,input_peak,input_rms,input_crest,input_channel_delta_max,output_samples,output_peak,output_rms,output_crest,output_channel_delta_max,residual_rms,decode_action_ratio,gain_curve_mean_db,gain_curve_std_db,gain_curve_diff_std_db,gain_curve_diff_p95_db,input_level_span_db,gain_vs_input_slope,gain_vs_input_r2,mse,mae,max_abs_error,correlation,freq_response_delta_db,freq_delta_low_db,freq_delta_mid_db,freq_delta_high_db,transient_delta,overshoot_delta,undershoot_delta,channel_deviation_rms,soft_clip_dependency,reference_samples_used,mse_vs_reference,mae_vs_reference,max_abs_error_vs_reference,correlation_vs_reference,null_residual_rms_vs_reference,freq_response_delta_db_vs_reference,transient_delta_vs_reference,mse_vs_source,mae_vs_source,correlation_vs_source,freq_response_delta_db_vs_source,input_clip_l,input_clip_r,output_clip_l,output_clip_r,reference_available,source_available,reference_source_type,reference_trust_level,reference_license,reference_origin,reference_notes,cassette_priority,case_category,matrix_frequency_hz,matrix_level_db
bass_plus_hf,decode,music_like,176400,1.0,0.38517886760271325,2.596196427451556,0.0,176400,1.0,0.586532067224391,1.7049366196331557,0.0,0.256374657080409,0.6655989688012757,3.648435967543018,0.1020277735251554,0.15180527816116396,0.2782851010528229,1.4221952450496609,0.15468470357940559,0.4328532130352484,0.06572796479309731,0.21771570234831192,0.60237087369782,0.9444209927060698,22.36121952420326,23.275037946222067,27.287961667545385,22.623548482908372,0.30385947566987737,0.60237087369782,0.5388518717935267,0.0,1.7094836620842362,0,,,,,,,,,,,,False,False,True,True,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,music_like,,
transient_train,decode,dynamic,132300,0.8,0.04261610220506534,18.772247075775788,0.0,132300,0.4119674278138999,0.021663973582780518,19.01624493030908,0.0,0.024276061337601476,0.5696452768201787,92.4793297764065,92.93091462022662,126.73717210865898,193.16489410209516,215.92256087833917,-0.8619678883940471,0.9982332537238834,0.0005893271540669892,0.0033483151250189684,0.7334858906345275,0.919744594219548,8.86358614652614,4.216651234181395,7.008054224265962,9.199586242811847,0.5647693435390125,0.5497362764707199,0.7334858906345275,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,dynamic,,
fast_level_switches,decode,dynamic,132300,0.5011586201290824,0.1830612960811551,2.737654713790007,0.0,132300,0.596613687039207,0.19986225362283505,2.985124385543512,0.0,0.07690716880359784,0.42011703429382036,-1.253620749932723,3.2460480914900263,0.737184521273149,1.5968772282783328,24.036993362973078,0.17316874574219884,0.1812664646655321,0.005914712613385092,0.05103649897974144,0.2428582927927845,0.9230268653192519,7.682903398173173,5.466189658752216,6.94248413438238,7.82584789386928,0.05077099647701623,0.23678821378633122,0.2428582927927845,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,dynamic,,
cassette_tone_400hz_-30db,decode,cassette_tone_matrix,110250,0.031622576001133496,0.022360679774997894,1.4142045912437595,0.0,110250,0.005082749919106152,0.003586521665529353,1.4171808769363625,0.0,0.01879410939945669,0.8404981238750583,-15.892477385451258,0.16226568158735286,0.12337638036145755,0.020825287567116567,0.14470191600468496,-0.11939599951100018,0.0014131408909506815,0.00035321854811874633,0.01692031199355476,0.03015216311356683,0.9953269606157792,26.473346863211578,16.29278180204022,14.812152537826398,21.977919808514777,0.0017545486920506907,0.03005983615233243,0.03015216311356683,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,cassette_tone_matrix,400.0,-30.0
cassette_tone_400hz_-24db,decode,cassette_tone_matrix,110250,0.06309533419730096,0.04461542169214011,1.4142045912437593,0.0,110250,0.017040128902355605,0.012024256311459026,1.41714618026867,0.0,0.03266868754993597,0.7322285952009998,-11.384725244950438,0.1612856469365008,0.12362985643682493,0.020825291894756147,0.14470191600468496,-0.11743284046400314,0.001383715989111689,0.0010672431462353414,0.0294097326539845,0.06016147861268825,0.995284874690485,29.565610505208465,12.20649065604313,15.493329862742462,25.150305038004902,0.0035007848851534747,0.057961491089099995,0.06016147861268825,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,cassette_tone_matrix,400.0,-24.0
cassette_tone_400hz_-18db,decode,cassette_tone_matrix,110250,0.12589174257424182,0.08901946956877224,1.4142045912437593,0.0,110250,0.057400813239844826,0.04051082595580917,1.4169252757882531,0.0,0.04885918376347006,0.5488595247775967,-6.834463465915834,0.16148223020178037,0.12385829367631107,0.020825341105135075,0.1447019160046743,-0.11777594659615158,0.0013884268333624883,0.0023872198380325365,0.043968957991440766,0.11892129340624566,0.9952678220568996,33.000927485020874,9.130984775142768,15.070871400096248,28.954073139704416,0.006984984155166537,0.10864298439193068,0.11892129340624566,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,cassette_tone_matrix,400.0,-18.0
cassette_tone_400hz_-12db,decode,cassette_tone_matrix,110250,0.25118704972414796,0.17761719292909026,1.4142045912437589,0.0,110250,0.19218100669656651,0.13587564379471864,1.414388931889178,0.0,0.04439446046826049,0.24994461254651174,-2.3230438962098114,0.16058534653461803,0.12332291591471767,0.020773983600570013,0.1447019160046743,-0.1205631524248097,0.0014712166555365114,0.0019708681202679434,0.03972450140460527,0.22837231656707713,0.9952658212349996,36.59972310846207,7.7465744752655326,16.247358329978802,32.8370507123403,0.013936875663458624,0.19331980821210223,0.22837231656707713,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,cassette_tone_matrix,400.0,-12.0
cassette_tone_400hz_-6db,decode,cassette_tone_matrix,110250,0.5011840543228065,0.3543928915419707,1.4142045912437593,0.0,110250,0.6004342927890954,0.43267675135701883,1.3877202574576353,0.0,0.08738003175312162,0.2465625971585641,1.737471205708514,0.1508906960130703,0.11736790834413778,0.021449123336240182,0.1447019160046743,-0.15077218325587932,0.0026060142894978044,0.007635269949176542,0.07943992802434871,0.4262052473139431,0.9950863749525753,39.413560877093104,8.524726032754778,21.481888196883546,35.537046221672654,0.027807722863252914,0.3095602892219398,0.4262052473139431,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,cassette_tone_matrix,400.0,-6.0
cassette_tone_1000hz_-30db,decode,cassette_tone_matrix,110250,0.031622576001133766,0.0223606797749979,1.414204591243771,0.0,110250,0.005034929476504124,0.003553073890944874,1.4170629801242827,0.0,0.018993180980790995,0.8494008756400957,-15.973789367819524,0.1564352335745936,0.12120611234493768,0.021813519356864305,0.058657945175539794,-0.09455614204006187,0.0001572438239051399,0.0003607409237690808,0.0170995820579593,0.030312423314108272,0.9558529973081547,26.00470627402804,13.725817674960906,19.41808243798656,19.17087943242419,0.004373913975773413,0.03027713258417451,0.030312423314108272,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,cassette_tone_matrix,1000.0,-30.0
cassette_tone_1000hz_-24db,decode,cassette_tone_matrix,110250,0.06309533419730151,0.04461542169214011,1.4142045912437717,0.0,110250,0.016936164697541393,0.011951679919922702,1.417053067938162,0.0,0.033377194703542584,0.7481089147572181,-11.437281541526092,0.15711736154026293,0.12194547560537798,0.02181339452907469,0.05865794517555045,-0.09324770285397399,0.00015159720230872864,0.0011140371262781913,0.030048003753587665,0.06048123871933433,0.9558191046131438,28.197843672393955,14.168095706697876,16.67878716302114,21.100422289591393,0.008727105726740706,0.06024699938742934,0.06048123871933433,0.0,0.0,0,,,,,,,,,,,,False,False,False,False,False,False,synthetic,approximate,CC0-1.0,OpenCompanderX synthetic harness,Generated in harness; synthetic approximative signal case.,True,cassette_tone_matrix,1000.0,-24.0
